title,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Product Engineer,Adecco Eastern Seaboard Recruitment Ltd.,Eastern,Not Specified,Not Specified,"Full Time, Permanent",Consultancy,Mechanical,45000
Logistics Officer / Chemical Background,RSM Recruitment (Thailand) Limited,Samutprakarn > Muang,Degree,5 years,Full Time,Consultancy,Transportation & Logistics,62500
Junior IT Support,Adecco Engineering & IT,Bangkok,Degree,1 year,"Contract, Full Time",Health & Beauty Care,Information Technology (IT),30000
Sales and Event Marketing,"Emanate  International Co.,ltd",Wattana,Degree,N/A,"Full Time, Part Time, Permanent",Advertising,Sales,20500
GA & HR Section Supervisor / Chonburi 30K ++ Urgent !!,"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Chemical,Clerical Support,27500
Digital Graphic Designer (4 positions) ***Urgently Required***,"DI AD CO., LTD.",Ladprao,Degree,1 year,Full Time,Public Relations,Video,20500
Accounting [Officer,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Electronic,Accounting,35000
Customer care,"Obrist (Thailand) Co., Ltd.",Samutprakarn > Muang,Not Specified,Not Specified,Full Time,Plastic,CS & Business Devpt,16500
Graphic Designer / Video Editor,"Cruise Guru Co., Ltd.",Bangkok,Degree,Not Specified,"Full Time, Internship, Part Time",Travel Agency,Graphics,20500
Accounting & Finance Staff,"happening co., ltd.",Bangkapi,Diploma of High Vocational Education,1 year,Full Time,Public Relations,Banking,25000
Logistic and Warehouse Manager Job (Freight Forwarding),"Monroe Recruitment Consulting Group Co., Ltd.",Bangkok,Degree,5 years,Full Time,Freight Forwarding,General Management,80000
IT Manager/Web and App Developer/ผู้จัดการไอที,"Bangkok Matching Co., Ltd./แบงคอก แมทชิ่ง",Klongtoey,Degree,3 years,Full Time,Information Technology,Radio,67500
Senior Programmer / Junior Programmer,"Crossingsoft Co., Ltd.",Bangkok,Degree,1 year,"Full Time, Permanent",Information Technology,Software Development,50000
Secretary เลขานุการ,"Fatima R.B.D.S International Co., Ltd.",Phayathai,Degree,1 year,Full Time,Information Technology,Operation,18000
Sales Executive,JAC International,Bangkok,Degree,1 year,"Full Time, Permanent",Garment,Sales,30000
Creative,"TWENTY TWENTY ENTERTAINMENT CO., LTD.",Sathorn,Degree,Not Specified,Permanent,Entertainment,Media & Advertising,21500
Sales Engineer,"Sirayooth Co., Ltd./บริษัท ศิรายุทธ จำกัด",Kannayao,Degree,N/A,Permanent,Engineering - Electrical,Sales Engineer,20500
General Manager – OCKEN,"Think Beyond Co., Ltd.",Sathorn,Degree,3 years,Full Time,Wholesale,F & B,50000
Software Engineer / C# Programmer,Quantium Technology,Prakanong,(N/A),N/A,Full Time,Information Technology,Information Technology (IT),52500
Project Associate – Thailand based (Consultant Contract),United Nations University International Institute for Software Technology,Others,Degree,Not Specified,"Contract, Freelance, Part Time, Temporary",Survey,Sciences,62500
Account Executive  / Account Manager (Based in Phuket),"Navigo Samui Co., Ltd.",Phuket,Degree,N/A,Full Time,Tourism,Sales,27500
Front of House & Social Media Editor,"The Hive Bangkok Co., Ltd.",Wattana,Degree,1 year,Permanent,Catering,Marketing General,25000
Accounting and Administrative Executive  up to 50k,RSM Recruitment (Thailand) Limited,Bangkok,Degree,3 years,Full Time,Consultancy,Personal Assistant,37500
Pastry Chef de Partie / Pastry Chef (Croissants/Puffs/Breads)/ Pastry Chef de Partie / Pastry Chef (Croissants/Puffs/Breads),Synova Ltd.,Bangkor-laem,Degree,3 years,"Full Time, Permanent",Food and Beverage,Manufacturing,35000
Facebook advertising and Growth Expert,Alphaweb Ventures LTD.,Wattana,Degree,1 year,Full Time,Information Technology,Information Technology (IT),72500
Order to Cash  (English Speaking),Solvay Asia Pacific Company Limited,Pathumwan,Degree,N/A,"Full Time, Permanent",Plastic,Accounting,25000
Chief Operating Officer ( COO )/ประธานฝ่ายปฎิบัติการ,S.K.J.Industries Company Limited,Wangthonglang,Degree,5 years,"Contract, Full Time",Petrochemical,Top Executives (CEO,87500
Accountant (Urgent!!!!!),"Staffers Recruitment Consultants Co., Ltd.",Pathumwan,Degree,3 years,Full Time,Financial Services,Analysis,27500
Customer Operations Executive (BTS Phrom Phong),The Lorry Online Sdn Bhd,Wattana,Degree,1 year,Full Time,Delivery,CS & Business Devpt,25000
Electrician,JAC AYUTTHAYA,Ayutthaya,Diploma of High Vocational Education,2 years,Full Time,Electronics,Engineering,16500
Sales Manager,Asian Golf Solutions Ltd.,Wattana,Degree,N/A,Full Time,Recreation,Business Development,30000
Administrator,"Skillpower Services (Thailand) Co., Ltd.",Pathumwan,Degree,2 years,"Contract, Full Time, Permanent, Temporary",Petrochemical,Compensation & Benefits,27500
Junior Telecom Engineer for Customer Complaints /ประจำจังหวัดชลบุรี 4 ตำแหน่ง และประจำจังหวัดนครราชสีมา 4 ตำแหน่ง,"Carenet and Business Management Recruitment Co., Ltd.",Bangkok,Degree,N/A,Contract,Information Technology,GSM Engineering,18000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Sales,27500
Commissioning Engineer,Weiss Technik (Thailand) Ltd.,Bangplee,Degree,2 years,"Full Time, Permanent",Engineering - Others,Engineering,27500
Office Assistant,Dash Research Asia,Klongtoey,Degree,Not Specified,Full Time,Information Technology,Secretary,23000
Customer Services,"S.M.Chemical Supplies Co., Ltd.",Ladprao,Degree,2 years,"Full Time, Permanent",Paper,Transportation & Logistics,20500
Network Engineer/ System Engineer (5+ Exp in ERP systems,"Smartcruit Consultant Co., Ltd.",Bangkok Area - Samutprakarn,Degree,5 years,"Full Time, Permanent",Petrochemical,Support,40000
Sales & Marketing Executive,"GLOBAL PREMIUM WINE CO., LTD.",Bangna,Degree,2 years,Full Time,Catering,Sales,30000
Backend Developer,Waylar Tech,Pathumwan,(N/A),N/A,Full Time,Telecommunication,Application Specialist - Software,37500
Designer,"Synterra Co., Ltd.",Phayathai,Diploma of High Vocational Education,N/A,Full Time,Energy,Energy,25500
Mobile Software Application Development,"Nexus Human Resources Recruitment Co., Ltd.",Rayong,Degree,7 years,"Full Time, Permanent",Human Resources Management,Information Technology (IT),72500
Accountant,Southeast Asian Ministers of Education Organization  Regional Centre for Archaeology And Fine Arts/ศูนย์ภูมิภาคว่าด้วยโบราณคดีและวิจิตรศิลป์ภายใต้องค์การรัฐมนตรีศึกษาธิการแห่งเอเชียตะวันออกเฉียงใต้,Dusit,Degree,5 years,Full Time,Charity,Accounting,37500
Contact Center officer (Full Time),Bumrungrad Hospital Public Company Limited,Wattana,Degree,N/A,"Full Time, Permanent",Medical,Call Centre,18000
CRM and Salesforce Manager,Audience IQ,Wattana,Degree,1 year,"Full Time, Permanent",Public Relations,Marketing Communication,95000
Pastry Chef de Partie / Pastry Chef (Croissants/Puffs/Breads)/ Pastry Chef de Partie / Pastry Chef (Croissants/Puffs/Breads),Synova Ltd.,Bangkor-laem,Degree,3 years,"Full Time, Permanent",Food and Beverage,Manufacturing,35000
Administrative Officer /เจ้าหน้าที่ธุรการ,"Asia Biogas (Thailand) Co., Ltd.",Pathumwan,Degree,N/A,Full Time,Waste Management,Admin & HR,18000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Event Marketing,27500
Customer Service (3,"Smartcruit Consultant Co., Ltd.",Bangkhuntien,Degree,3 years,"Full Time, Permanent",Paper,Admin & HR,32500
Buyer Manager (Medical Product&Life Stye),"SAVE DRUG Center Co., Ltd./ร้านยาเซฟดรัก",Huaykwang,Degree,3 years,Full Time,Wholesale,Purchasing,50000
Event Sales and Marketing/ตัวแทนงานฝ่ายการขายและการตลาด (อีเว้นท์),"Phenomenon Enterprise Co., Ltd.",Klongtoey,Degree,N/A,"Freelance, Full Time, Part Time",Advertising,Account Servicing,25000
Content Writer Specialised in SEO,"KASA Property Samui Co., Ltd.",Sathorn,Not Specified,Not Specified,"Contract, Full Time",Property Development,Public Relations,50000
Sales Engineer,"Sirayooth Co., Ltd./บริษัท ศิรายุทธ จำกัด",Kannayao,Degree,N/A,Permanent,Electronic,CS & Business Devpt,20500
Membership Sale & Relation Officer,"Siam Motors Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Hospitality,Management,25000
Production Supervisor (Wangnoi Factory)/หัวหน้าผู้ควบคุมงานฝ่ายผลิต,Tipco Foods Public Company Limited,Ayutthaya,Degree,1 year,"Full Time, Permanent",Catering,Manufacturing,25000
Customer Service Officer – Fresh Graduate level (Many Positions),Adecco Engineering & IT,Huaykwang,Degree,Not Specified,Full Time,Tourism,Customer Service,22500
Accounts & Admin Executive,"DB&B (Thailand) Co., Ltd.",Pathumwan,Degree,3 years,Full Time,Interior Design,Clerical Support,30000
Lead Architect,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,10 years,Permanent,Construction,Product,62500
Sales Consultant (Super Car),Adecco Engineering & IT,Bangkok,Degree,3 years,"Full Time, Permanent",Human Resources Management,CS & Business Devpt,22500
CSS Developer,"Skillpower Services (Thailand) Co., Ltd.",Prakket,Degree,1 year,"Full Time, Permanent",Service,Software Development,35000
Sr. Vision Software Engineer (Automation),"Cal-Comp Electronics (Thailand) Public Co., Ltd.",Klongtoey,Degree,1 year,"Full Time, Permanent",Electrical Equipment,Admin & HR,22500
Human Capital Consultant/Senior Consultant/ที่ปรึกษาการจัดการ,ADGES Consulting,Wattana,Master,4 years,"Contract, Permanent",Service,Professional Services,45000
Strategic Sales Manager,Transcendent Business Services Pte Ltd,Bangkok,Degree,5 years,"Full Time, Permanent",Electronics,Account Servicing,95000
Sales Executive/พนักงานขาย,S.K.J.Industries Company Limited,Wangthonglang,Degree,1 year,"Contract, Full Time",Chemical,Sales,22500
Safety Officer/เจ้าหน้าที่ความปลอดภัย (จป.),"P.P. & P. BUSINESS & SERVICE CO., LTD.",Ayutthaya,Diploma of High Vocational Education,> 20,Permanent,Freight Forwarding,Engineering,20500
เจ้าหน้าที่รับประกันภัย (ระดับ Junior,Dhipaya Insurance Public Company Limited,Others,Degree,5 years,"Full Time, Permanent",Pension Funding,Insurance,32500
Sales Representative Upcountry / พนักงานขายต่างจังหวัด ภาคเหนือ,"JVCKENWOOD (Thailand) Co., Ltd.",Others,Degree,2 years,"Full Time, Permanent",Electrical Equipment,CS & Business Devpt,18000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Sales,27500
Sales Manager (Chinese speaking),"Water Pavilion Estate Co., Ltd.",Klongtoey,Degree,5 years,Full Time,Property Development,Sales,57500
Assistant Accounting Manager,"grasia Bangkok Co., Ltd.",Klongtoey,Degree,2 years,Full Time,Advertising,General Accounting,25000
Mechanical Engineer (45K – 70K,Adecco Eastern Seaboard Recruitment Ltd.,Chonburi,Not Specified,Not Specified,"Full Time, Permanent",Electronic,Building & Construction,57500
Key Account Executive,Page Group Thailand,Bangkok,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Electrical Equipment,CS & Business Devpt,72500
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Marketing,27500
Credit Executive (Collection),en world Thailand,Bangna,Degree,2 years,Full Time,Water,Credit Control,37500
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Marketing,27500
เจ้าหน้าที่ความปลอดภัยในการทำงานระดับวิชาชีพ/จป.วิชาชีพ,"RAIKOTHONG CONSTRUCTION & SERVICE CO., LTD.",Rayong,Not Specified,5 years,Permanent,"Engineering - Building, Civil, Construction",Building & Construction,27500
Purchasing Officer (1+ yr exp in Purchasing,"Smartcruit Consultant Co., Ltd.",Bangna,Degree,1 year,"Full Time, Permanent",Electronic,Merchandising - Others,22500
Business Development Manager,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,5 years,"Full Time, Permanent",Building,Engineering Project Management,72500
Sales Executive (IT Product),"Ampo Microsys Co., Ltd.",Bangrak,Degree,2 years,Full Time,Information Technology,Others,22500
Jewelry designer,"Chokas Jewelry Co., Ltd.",Pranakorn,Degree,1 year,"Full Time, Internship",Watches,Design,19000
Sales Representative,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Event Marketing,27500
Sales Representative,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Event Marketing,27500
Assistant Call Center Manager/Senior Call Center Supervisor 5 Positions!,AD Venture Public Company Limited,Bangkapi,Degree,3 years,"Full Time, Permanent",Telecommunication,Others,40000
Sales Engineer/วิศวกรขาย,"Master Com Engineering Co., Ltd.",Pasicharoen,Not Specified,Not Specified,Permanent,Engineering - Electrical,Sales Engineer,25500
Merchandising Officer,"The Mall Group Co., Ltd.",Bangkapi,Degree,1 year,Full Time,Management Consultancy,Purchasing,23000
Front Office Manager,"URBANA ESTATE CO., LTD.",Pathumwan,Not Specified,Not Specified,Full Time,Property Development,F & B,50000
Senior programmer (C#,Quantium Technology,Prakanong,Degree,3 years,Full Time,Information Technology,Application Specialist - Software,72500
Chinese Coordinator (Fresh graduates are welcome) /เจ้าหน้าที่ประสานงานต่างประเทศ (ภาษาจีน),"President Automobile Industries Co ., Ltd./บริษัท เพรสซิเด้นท์ ออโตโมบิล อินดัสทรีส์ จำกัด",Bangkok Area - Samutsakorn,Degree,N/A,"Full Time, Permanent",Manufacturing,Sales,20500
Accounting Officer,"SOUTHERN COFFEE 1979 (THAILAND) CO., LTD.",Bangbuathong,Degree,1 year,Full Time,Food and Beverage,Others,20500
Marketing Manager Job (Scientific Instruments Manufacturer),"Monroe Recruitment Consulting Group Co., Ltd.",Bangkok,Degree,8 years,Full Time,Manufacturing,Brand,105000
QUALITY CONTROL/AMBIENT MANAGER,Global Rooms LTD.,Bangrak,Degree,N/A,"Full Time, Permanent",Hospitality,Quality Assurance,50000
Online Marketing/เจ้าหน้าที่การตลาด,"SKOOTAR BEYOND CO., LTD.",Wattana,Degree,2 years,"Full Time, Permanent",Shipping,Strategic Planning,30000
Marketing & Sales/Customer Care/การตลาดและฝ่ายขาย/บริการลูกค้า,"",Klongtoey,Degree,N/A,Full Time,Marketing Services,Event Marketing,22500
OTA MANAGER,Global Rooms LTD.,Bangrak,Degree,N/A,"Full Time, Permanent",Hospitality,Sales Management,50000
Customer Service,"Three D Eyebrows Co., Ltd.",Prakanong,Degree,2 years,Permanent,Health & Beauty Care,Customer Service,18000
Sale Executive,"NPT Chain Solution Co., Ltd.",Klongtoey,Degree,3 years,"Full Time, Permanent",Freight Forwarding,Sales,25000
Chinese Interpreter/ Coordinator/ล่าม/ธุรการภาษาจีน,China Petroleum Pipeline Bureau,Nakhon Ratchasima,Degree,N/A,Full Time,Water,Instructor,25000
.NET Programmer,"Ditruz Co., Ltd./บริษัท ดีทรัซ จำกัด",Thanyaburi,Degree,N/A,"Contract, Full Time, Internship",Information Technology,Information Technology (IT),25500
เจ้าหน้าที่บริการลูกค้า ประจำ Airport Rail Link สถานี พญาไท และ สถานีสุวรรณภูมิ Toeic 500+,"I Support Co., Ltd.",Phayathai,Degree,N/A,"Contract, Full Time","Civil Services (Government, Armed Forces)",Others,18000
SALES/MARKETING EXECUTIVES/การขาย/การบริหารการตลาด,"Paul Poole (South East Asia) Co., Ltd./บริษัท พอล พูล (เซ้าท อีส เอเชีย) จำกัด",Pranakorn,Degree,1 year,Full Time,Marketing Services,CS & Business Devpt,35000
Programmer,"Shining Gold Bullion Co., Ltd.",Sathorn,Degree,1 year,"Full Time, Permanent",Jewellery,Programming,22500
Sales & Marketing 5 Positions /พนักงานขาย,"RICHWISE MARKETING CO., LTD./บริษัท ริชไวส์มาร์เก็ตติ้ง จำกัด",Bangkok Area - Nakornpatom,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Retail,Sales,14500
Sales and Marketing Assistant,"Skillpower Services (Thailand) Co., Ltd.",Dindaeng,Degree,1 year,Permanent,Medical,Public Relations,25000
Waitress ( Full Time ) 5 Positions/พนักงานเสริฟ ประจำร้าน 5 ตำแหน่ง,"TMS TALENT CO., LTD.",Wattana,High School Certificate,1 year,Full Time,Hospitality,F & B,27500
Sales Executive (Golf & Resort ) /เจ้าหน้าที่บริหารงานขาย ธุรกิจสนามกอล์ฟและรีสอร์ท,PM Group Company Limited,Klongtoey,Degree,2 years,"Full Time, Permanent",Hospitality,Tele-sales (Telemarketing),22500
Supply Chain Supervisor/ผู้จัดการ/ผู้ช่วย ฝ่ายบริหารห่วงโซ่อุปทาน,"Talaypu Natural Product Co., Ltd.",Wattana,Degree,3 years,Full Time,Retail,Merchandising & Purchasing,35000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Marketing,27500
Mechanical Engineer (45K – 70K,Adecco Eastern Seaboard Recruitment Ltd.,Chonburi,Not Specified,Not Specified,"Full Time, Permanent",Electronic,Building,57500
MARKETING MANAGER,"Vitahealth (Thailand) Co., Ltd.",Bangrak,Degree,5 years,Full Time,Health & Beauty Care,Public Relations,37500
Commercial Director,"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,10 years,"Full Time, Permanent",Food and Beverage,Public Relations,140000
Customs Specialist,Manpower Thailand - Eastern Seaboard Branch,Rayong,Degree,5 years,"Full Time, Permanent",Manufacturing,Shipping,62500
System Analysis Specialist   ด่วน !!,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,DBA,57500
Senior Accountant,"Quantium Solutions (Thailand) Co.,Ltd.",Klongtoey,Degree,4 years,"Full Time, Permanent",Freight Forwarding,Others,37500
Business Development Executive / เจ้าหน้าที่ขาย,Managerial Excellence,Klongtoey,Degree,N/A,"Full Time, Permanent",Retail,Others,22500
Executive Company Secretary ( Lad Krabang) 50,MRI Worldwide Recruitment (Thailand) Ltd.,Ladkrabang,Degree,3 years,Full Time,Paper,Secretary,57500
Procurement Executive,"Staffers Recruitment Consultants Co., Ltd.",Sathorn,Not Specified,Not Specified,Contract,Chemical,Purchasing,35000
Senior Sales Manager/ผู้จัดการฝ่ายขายอาวุโส,Mister Loo (Thailand) Ltd./บริษัท มีสเตอร์ (ประเทศไทย) จำกัด,Prakanong,Not Specified,10 years,"Contract, Full Time, Permanent",Public Utilities,Sales,125000
Account Coordinator / เจ้าหน้าที่ฝ่ายประสานงานฝ่ายบัญชี,"Factoria Co., Ltd.",Prakanong,Not Specified,Not Specified,Full Time,Consultancy,Others,16500
Account Executive  / Account Manager (Based in Phuket),"Navigo Samui Co., Ltd.",Phuket,Degree,N/A,Full Time,Travel Agency,Sales,27500
National Sales Executive/เจ้าหน้าที่บริหารงานขาย,iPick Marketing Thailand/iPick การตลาด,Bangkok,Not Specified,Not Specified,"Contract, Freelance, Full Time, Part Time, Permanent, Temporary",Marketing Services,Account Servicing,32500
Global Markets Securities Operations Officer,The Hongkong and Shanghai Banking Corporation Limited,Sathorn,Degree,1 year,Full Time,Financial Services,Banking,30000
Sales Representative (Bangkok area) พนักงานขาย กรุงเทพ/เซลล์ พนักงานขาย กรุงเทพ,"Big 3 Industry Co., Ltd.",Bangkok,Diploma of High Vocational Education,> 20,"Full Time, Permanent",Plastic,CS & Business Devpt,20500
Sales & Operation (เจ้าหน้าที่ฝ่ายขายและประชาสัมพันธ์ทัวร์ต่างประเทศ),"Avenue Inter Travel Group Co., Ltd.",Bangrak,Degree,N/A,"Full Time, Permanent",Travel Agency,Account Servicing,20500
พนักงานขายคอมพิวเตอร์ (IT) 2 อัตรา,CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Retail,CS & Business Devpt,18000
Sales & Event Marketing Representative/เจ้าหน้าที่ส่งเสริมการขายและการตลาดประจำการออกบูธอีเว้นท์,Perfect Professional Group,Bangkok,Degree,N/A,"Contract, Freelance, Full Time",Advertising,CS & Business Devpt,20500
Account Executive,American Gemstone LTD/บริษัท อเมริกัน เจมส์สโตน จำกัด,Bangbon,Degree,1 year,Full Time,Gems,CS & Business Devpt,25000
Assistant Accounting Manager (50,"Ignite The Consultant Co., Ltd.",Yannawa,Degree,5 years,Full Time,Service,Finance,80000
Senior .Net Programmer (Urgently required),"The Prodigy (Thailand) Co., Ltd.",Bangkok,Degree,5 years,"Contract, Full Time, Permanent",Information Technology,Programming,57500
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Marketing,27500
Sales Executive,"V.Greatpremium Co., Ltd.",Huaykwang,Degree,1 year,Full Time,Advertising,Account Servicing,32500
Production Engineer/วิศวกรฝ่ายผลิต,JAC International,Bangplee,Degree,3 years,"Full Time, Permanent",Manufacturing,Manufacturing,37500
Sales Engineer (New Graduate Students/ Degree in Engineering/ Attractive Salary & Benefits),"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Electronics,Student,37500
Online Sales Consultant (Thai Market),Teledirect Telecommerce Sdn Bhd,Overseas,Degree,Not Specified,"Contract, Full Time",Marketing Services,Tele-sales (Telemarketing),27500
Assistant HR Manager,"iBingo Consulting Co., Ltd.",Bangkok,Degree,8 years,"Full Time, Permanent",Consultancy,Recruitment,57500
Programmer,"Shining Gold Bullion Co., Ltd.",Sathorn,Degree,1 year,"Full Time, Permanent",Watches,Application Specialist - Software,22500
Administrator Officer/ฝ่ายประสานงาน,S.K.J.Industries Company Limited,Wangthonglang,Degree,1 year,"Contract, Full Time",Paper,Administration,18000
Financial Analysis (สำนักงานใหญ่),COCO NUTS LTD.,Wattana,Degree,3 years,Full Time,Food and Beverage,General Accounting,30000
Executive Company Secretary ( Lad Krabang) 50,MRI Worldwide Recruitment (Thailand) Ltd.,Ladkrabang,Degree,3 years,Full Time,Paper,Admin & HR,57500
Accountant,Southeast Asian Ministers of Education Organization  Regional Centre for Archaeology And Fine Arts/ศูนย์ภูมิภาคว่าด้วยโบราณคดีและวิจิตรศิลป์ภายใต้องค์การรัฐมนตรีศึกษาธิการแห่งเอเชียตะวันออกเฉียงใต้,Dusit,Degree,5 years,Full Time,Non-Profit Organisation,Accounting,37500
Mobile support (Contract 1 year / 20,"TT Network Integration (Thailand) Co., Ltd.",Bangbor,Degree,1 year,Contract,Information Technology,IT Project Management,23000
Online Marketing Officer/เจ้าหน้าที่การตลาดออนไลน์,"Celeste (Thailand) Co., Ltd.",Bangkoknoi,Degree,N/A,"Full Time, Permanent",Pharmaceutical,Public Relations,14500
Sales Executive/พนักงานขาย,S.K.J.Industries Company Limited,Wangthonglang,Degree,1 year,"Contract, Full Time",Plastic,Sales,22500
Agile Project Manager,"Demo Power (Thailand) Co., Ltd.",Rajthevee,Not Specified,Not Specified,"Full Time, Permanent",Advertising,IT Project Management,57500
Marketing and Business Development (Scientist),"ALS Laboratory Group (Thailand) Co., Ltd.",Suanluang,Degree,Not Specified,"Full Time, Permanent",Research,Research & Development (R&D),27500
Graphic Designer (3D experience),บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,Prakanong,Degree,2 years,Permanent,Trading and Distribution,Design,25000
Project Sales Deputy Manager(5 yrs+ in Hospitality,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Information Technology,Others,57500
Vendor Relations Manager (BTS Phrom Phong),The Lorry Online Sdn Bhd,Wattana,Degree,3 years,Full Time,Delivery,Transportation & Logistics,37500
Senior/Lead Brand Manager (Skin Care,Argyll Scott Asia,Bangkok,(N/A),5 years,"Full Time, Permanent",Wholesale,Marketing,105000
Senior Accountant/เจ้าหน้าที่บัญชีและการเงินอาวุโส,"BOOKMYCARGO (THAILAND) CO., LTD.",Bangkapi,Degree,3 years,Permanent,Delivery,Operation,32500
Creative Planner,"Media Garden Co., Ltd.",Suanluang,Degree,1 year,"Full Time, Permanent",Recreation,Media & Advertising,23000
System Analyst    ด่วน !!,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Information Technology (IT),37500
Programmer,"Shining Gold Bullion Co., Ltd.",Sathorn,Degree,1 year,"Full Time, Permanent",Jewellery,Software Development,22500
Copy Writer / Content Writer/เขียนคำโฆษณา,"Mini Me Advertising Co., Ltd.",Jatuchak,Degree,1 year,"Full Time, Permanent",Public Relations,Copy-writing,25500
Production Control Asst.Manager 1 ตำแหน่ง,"Jmax Recruitment Co., Ltd.",Ayutthaya,Degree,3 years,"Full Time, Permanent",Electronics,Manufacturing,57500
Business Development Executive/Manager,"THE WORLD IS FLAT TECHNOLOGY (THAILAND) CO., LTD.",Wattana,Degree,1 year,Full Time,Information Technology,Business Development,35000
Business development executive,"Bangkok Freight Forwarders Co., Ltd./บางกอกเฟรท ฟอร์เวิดเดอร์ จำกัด",Bangplee,Degree,1 year,Permanent,Delivery,Shipping,23000
Accounting Officer/Accounting Officer,"J & P Fragrances Co., Ltd.",Sathorn,Degree,1 year,Full Time,Accounting,Accounting,18000
Account Executive  / Account Manager (Based in Phuket),"Navigo Samui Co., Ltd.",Phuket,Degree,N/A,Full Time,Tourism,CS & Business Devpt,27500
SYSTEM ANALYST,"CONNEX Business Online Co.,Ltd",Bangkor-laem,Degree,4 years,"Full Time, Permanent",Information Technology,Software Development,37500
Digital Marketing,"Step Solutions Co., Ltd.",Meenburi,Degree,N/A,"Full Time, Permanent",Engineering - Electrical,Public Relations,30000
Office Administrator,"Doulon Electronics Co., Ltd",Wattana,Not Specified,Not Specified,Full Time,Mechanical,Personal Assistant,20500
Automation QA,"Shivam Consultancy Co., Ltd.",Sathorn,Degree,7 years,"Contract, Full Time, Permanent",Information Technology,Application Specialist - Network,82500
Sales Manager,KEMREX COMPANY LIMITED,Bangplee,Master,7 years,Permanent,Trading and Distribution,CS & Business Devpt,57500
Back,"CODEX DIGITAL PARTNER CO., LTD.",Ladprao,Degree,N/A,Full Time,Information Technology,Information Technology (IT),32500
Pastry Chef de Partie / Pastry Chef (Croissants/Puffs/Breads)/ Pastry Chef de Partie / Pastry Chef (Croissants/Puffs/Breads),Synova Ltd.,Bangkor-laem,Degree,3 years,"Full Time, Permanent",Food and Beverage,Others,35000
Fashion Buyer (Chinese Speaking)/จัดซื้อต่างประเทศ (ภาษาจีน) /จัดซื้อต่างประเทศ( ภาษาจีน ),"Unique Trading (Thailand) Co., Ltd./บริษัท ยูนิคเทรดดิ้ง (ไทยแลนด์) จำกัด",Pravet,Degree,N/A,"Full Time, Permanent",Trading and Distribution,General Management,23000
SAP Data Support Analyst,"Skillpower Services (Thailand) Co., Ltd.",Bangrak,Degree,1 year,"Full Time, Permanent",Human Resources Management,Information Technology (IT),45000
Senior Account Executive (30K,"Cre-active Hub Co., Ltd./บริษัท ครี-แอคทีฟ ฮับ จำกัด",Wangthonglang,Degree,3 years,Permanent,Marketing Services,CS & Business Devpt,37500
Game Developer (Unity),"Chilindo Co., Ltd.",Wattana,Degree,3 years,"Full Time, Permanent",Information Technology,Design,80000
Admin staff/เจ้าหน้าที่ธุรการ คีย์ข้อมูล ประสานงาน,"Rocky Garment Co.,Ltd.",Klongsan,Diploma of High Vocational Education,1 year,Full Time,Garment,Clerical Support,16500
Night Club Marketing / Public Relation Officer,"E.G.C. Entertainment Group Co,.Ltd",Chonburi,(N/A),N/A,"Full Time, Permanent",Food and Beverage,F & B,18000
Sales Representative,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,CS & Business Devpt,27500
