title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
เจ้าหน้าที่บัญชี,Entry Level,Grand Prix International Public Company Limited,Bangkhen,(N/A),Not Specified,Permanent,Media,Accounting,30000
Assistant Learning and Development Manager/ผู้ช่วยผู้จัดการฝ่ายการเรียนรู้และพัฒนา,"","Bangkok Hotel Lotus Sukhumvit Co., Ltd.",Wattana,Degree,3 years,"Full Time, Permanent",Catering,Admin & HR,30000
Account Executive,"",BLISS-TEL PUBLIC COMPANY LIMITED,Pravet,Degree,1 year,"Full Time, Permanent",Telecommunication,Sales Management,35000
Head Chef (Western Food) /หัวหน้าเชฟ,Middle,"Steps With Theera Co., Ltd.",Prakanong,Diploma of High Vocational Education,3 years,"Contract, Full Time, Permanent",Catering,F & B,25000
Business Development Manager,Senior,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,5 years,"Full Time, Permanent",Construction,Construction,72500
Digital Marketer/เจ้าหน้าที่การตลาดออนไลน์ /ที่ปรึกษาความงามออนไลน์,"","Dream Clinic Medicine Co., Ltd./บจก.ดรีมคลินิกเวชกรรม",Dindaeng,Degree,N/A,"Full Time, Part Time",Pharmaceutical,Others,32500
Accountant/พนักงานบัญชี,"",S.K.J.Industries Company Limited,Wangthonglang,Degree,2 years,"Contract, Full Time",Paper,General Accounting,27500
Designer 3D event & exhibition,Entry Level,"P4 Able Co., Ltd./บริษัท พีโฟร์เอเบิล จำกัด",Ladprao,Degree,N/A,Permanent,Interior Design,Others,25000
SALES EXECUTIVE,Entry Level,Buhlmann (Thailand) Ltd.,Huaykwang,Degree,1 year,Full Time,Trading and Distribution,Technical Sales,30000
Digital Marketing/เจ้าหน้าที่การตลาดดิจิทัล,"","Buono (Thailand) Co., Ltd.",Bangkok Area - Nakornpatom,Not Specified,Not Specified,Permanent,Catering,Public Relations,20500
Secretary,Entry Level,OPTIMAIL COMPANY LIMITED,Huaykwang,Degree,Not Specified,Full Time,Information Technology,Others,20500
Account Executive,"",American Gemstone LTD/บริษัท อเมริกัน เจมส์สโตน จำกัด,Bangbon,Degree,1 year,Full Time,Gems,Customer Service,25000
Platform & Application Supervisor,"","DATTEL CO., LTD.",Klongtoey,Degree,N/A,Contract,Research,Information Technology (IT),20500
Secretary to GM & MARCOM Maven Hotel by Major Development/Secretary to GM & MARCOM,Entry Level,"MJ ONE Co., Ltd.",Huaykwang,(N/A),2 years,Full Time,Hospitality,Secretary,22500
PROJECT LEAD,"","Draycir Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Information Technology,Information Technology (IT),57500
Merchandising Officer,Entry Level,"The Mall Group Co., Ltd.",Bangkapi,Degree,1 year,Full Time,Management Consultancy,Merchandising & Purchasing,23000
Marketing Executive,"","I Q Wine Co., Ltd.",Wattana,Degree,1 year,"Full Time, Permanent",Trading and Distribution,Others,40000
Accounting Manager/Supervisor/ผู้จัดการฝ่าย/แผนกบัญชีและการเงิน,"","Cheer Group Holdings Co., Ltd./บริษัท เชียร์ กรุ๊ป โฮลดิ้งส์ จำกัด",Bangkok Area - Nakornpatom,Degree,5 years,"Full Time, Permanent",Catering,Accounting,42500
เจ้าหน้าที่จัดซื้อทั่วไปต่างประเทศ / Oversea Procurement Staff  ( Urgently Required ),Entry Level,"D.T.C. Enterprise Co., Ltd.",Bangna,Degree,1 year,Full Time,Electronic,Sourcing,23000
Senior Project Event,Senior,Fattwo Company Limited,Jatuchak,Degree,3 years,"Full Time, Permanent",Service,Marketing,25000
Web master / Graphic designer /พนักงานคอมพิวเตอร์ /กราฟฟิคดีไซเนอร์,"",TOYS & GYM Company Limited,Phitsanulok,Diploma of High Vocational Education,1 year,"Freelance, Full Time",Manufacturing,Design,11500
Business Development Manager/ผู้จัดการฝ่ายพัฒนาธุรกิจแฟรนไชส์,"",Singer Thailand Public Company Limited,Bangrak,Degree,5 years,Permanent,Electrical Equipment,Sales,105000
Sales Executive,Entry Level,"Revolution Network CO., LTD./บริษัท เรโวลูชั่น เน็ตเวิร์ค จำกัด",Suanluang,Degree,N/A,Full Time,Marketing Services,Sales,18000
Presales Specialist (Manager Level: Security/ Network & System / Cloud) (Up to 70K / BTS / MRT Line),Middle,"Linktrix (Thailand) Co., Ltd.",Wattana,Degree,7 years,"Full Time, Permanent",Telecommunication,Information Technology (IT),57500
Market Executive (Mandarin speaking),"","Ctrip (Thailand) Co., Ltd.",Dindaeng,Degree,N/A,"Contract, Full Time, Permanent",Travel Agency,Marketing,32500
Salesperson  (Pathumtani) (Salary 30,Entry Level,"Asia Thanasin Co., Ltd.",Pathumthani > Muang,(N/A),1 year,"Full Time, Permanent",Property Development,CS & Business Devpt,27500
Human Resource Officer/เจ้าหน้าที่ฝ่ายบุคคล,"","EIJI SKIN EXPERT CO., LTD.",Central,Degree,2 years,Full Time,Health & Beauty Care,Operation,22500
Key Account Manager (Tesco),"",Page Group Thailand,Others,Degree,2 years,"Full Time, Permanent",Others,CS & Business Devpt,105000
PRODUCT SPECIALIST,"",Cosmo Group Public Company Limited,Prakanong,Degree,3 years,Full Time,Watches,Medical Services,45000
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Marketing,27500
Senior Accountant,"",JAC International,Sathorn,Degree,5 years,"Full Time, Permanent",Laboratory,General Accounting,95000
Sales & Event Marketing Representative/ผู้ช่วยฝ่ายขายเเละประชาสัมพันธ์ประจำบูธ,"","Pungluang Campground Co., Ltd.",Bangbon,(N/A),1 year,"Contract, Full Time, Permanent",Travel Agency,Marketing General,20500
Admin Manager,Middle,"The Best Beginning Co., Ltd.",Klongtoey,Degree,N/A,Full Time,Health & Beauty Care,Clerical Support,22500
HOTEL RECEPTIONIST,"",Global Rooms LTD.,Bangrak,High School Certificate,N/A,"Full Time, Permanent",Catering,Others,15000
Technician / ช่างไฟฟ้า แอร์ ถอดประกอบ รถยนต์,"","Win Part and Service Co., Ltd.",Phayathai,Not Specified,Not Specified,"Contract, Full Time, Permanent",Motor Vehicles,Engineering,16500
Accountant [BTS Sukumvit Line]/พนักงานบัญชี,"",JAC International,Pathumwan,Degree,N/A,"Full Time, Permanent",General Business Services,Others,30000
Design and Development Engineer,Middle,"Autopack Co., Ltd.",Bangkok Area - Nakornpatom,Degree,7 years,"Full Time, Permanent",Manufacturing,Design,57500
Mobile App Developer,"",Criterion Asia Recruitment,Bangkok,Degree,2 years,"Full Time, Permanent",Information Technology,Information Technology (IT),87500
System Engineer/วิศวกรระบบ,Entry Level,"Unified Solutions Co., Ltd./บริษัท ยูนิฟายด์ โซลูชั่นส์ จำกัด",Bangkok,(N/A),N/A,"Full Time, Permanent",Information Technology,Others,20500
PRODUCT SPECIALIST,"",Cosmo Group Public Company Limited,Prakanong,Degree,3 years,Full Time,Watches,Sciences,45000
Sales Engineer/พนักงานขายฝ่ายวิศวกรรม,"","JTU (Thailand) Co., Ltd.",Others,Diploma of High Vocational Education,2 years,Permanent,Electrical Equipment,Electronics,25000
Digital Marketer,"","TOP ENGLISH (THAILAND) CO., LTD.",Sathorn,Not Specified,Not Specified,Full Time,Education,Product Management,30000
Vendor Relations Manager (BTS Phrom Phong),"",The Lorry Online Sdn Bhd,Wattana,Degree,3 years,Full Time,Shipping,Transportation & Logistics,37500
Accounts Receivable Officer /พนักงานบัญชีลูกหนี้,"","Global Style Trading Co., Ltd.",Wattana,Degree,1 year,"Full Time, Permanent",Trading and Distribution,Others,20500
Sales Executive (2 yrs Selling Exp in Plastic,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Plastic,CS & Business Devpt,32500
Supply Chain Management,"",JAC Recruitment Eastern Seaboard,Rayong,Degree,4 years,Full Time,Human Resources Management,Transportation & Logistics,50000
Customer Support Specialist (Native Thai Speaker) @ Kuala Lumpur/ฝ่ายบริการลูกค้าสัมพันธ์ (ทำงานที่ประเทศมาเลเซีย),Entry Level,SELLBYTEL Services Malaysia Sdn Bhd,Overseas,Degree,N/A,"Contract, Full Time, Permanent",Information Technology,CS & Business Devpt,22500
Sales & Event Marketing Representative/ผู้ช่วยฝ่ายขายเเละประชาสัมพันธ์ประจำบูธ,"","Pungluang Campground Co., Ltd.",Bangbon,(N/A),1 year,"Contract, Full Time, Permanent",Travel Agency,Marketing,20500
Order to Cash  (English Speaking),"",Solvay Asia Pacific Company Limited,Pathumwan,Degree,N/A,"Full Time, Permanent",Plastic,Credit Control,25000
Safety Officer/เจ้าหน้าที่ความปลอดภัย (จป.),"","P.P. & P. BUSINESS & SERVICE CO., LTD.",Ayutthaya,Diploma of High Vocational Education,> 20,Permanent,Freight Forwarding,Others,20500
Senior .Net Programmer (Urgently required),Middle,"The Prodigy (Thailand) Co., Ltd.",Bangkok,Degree,5 years,"Contract, Full Time, Permanent",Information Technology,Software Development,57500
R&D Chemist Packaging or OEM Automotive ( 40,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,2 years,Full Time,Plastic,Lab,37500
QA & Tester (ประจำโรงงานพระประแดง),"","Chan Wanich Co., Ltd.",Phrapradaeng,Degree,1 year,"Full Time, Permanent",Information Technology,Information Technology (IT),23000
Sale Executive,"","ASIA PACIFIC PAPER CO., LTD.",Bangkok,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Wholesale,Sales,25500
บริการ,Entry Level,"UBON CENTRAL SPORT LTD., PART.",Ubon Ratchathani,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Retail,Account Servicing,7500
Tooling Manager,Middle,JAC Recruitment Eastern Seaboard,Rayong,Degree,10 years,Permanent,Manufacturing,Manufacturing & Production,52500
Logistics Officer / Chemical Background,"",RSM Recruitment (Thailand) Limited,Samutprakarn > Muang,Degree,5 years,Full Time,Human Resources Management,Supply Chain,62500
Sales & Recruitment Consultant (many positions !!),"","Pasona HR Consulting Recruitment (Thailand) Co., Ltd.",Sathorn,Degree,N/A,"Full Time, Permanent",Consultancy,CS & Business Devpt,25000
Sales and Technical Support Manager,"","HASLE Refractories (Thailand) Co., Ltd.",Chomthong,Degree,3 years,"Full Time, Permanent",Service,Engineering,57500
R&D Division  Manager/ผู้จัดการแผนกR&D,Senior,"Pathawin Co., Ltd.",Pathumthani > Muang,Degree,4 years,"Contract, Full Time, Permanent",Health & Beauty Care,Lab,45000
Administration Support Officer,Middle,"FRS Business Solutions Co., Ltd.",Sathorn,Degree,3 years,"Full Time, Permanent",Audit,Credit Control,40000
Junior Operations Manager,"",BnBCondo,Wattana,Master,3 years,Full Time,Consultancy,F & B,18000
Accounting Staff/ พนักงานบัญชี,"","Poon Sisters Co., Ltd.",Wattana,Degree,1 year,"Full Time, Permanent",Wholesale,General Accounting,22500
F&B Brand Manager,Middle,"Destination Eats Co., Ltd.",Wattana,Degree,5 years,Full Time,Hospitality,Management,72500
Office Admin/ Business Development Assistant (3 Positions),Middle,"FLIGHT CONCIERGE GROUP CO., LTD.",Wattana,Degree,1 year,"Contract, Full Time, Permanent",Tourism,Hospitality,32500
Corporate Sales,Entry Level,DD Fitness,Phayathai,(N/A),N/A,Full Time,Sports,Customer Service,22500
Customer Service Officer,Entry Level,"Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,1 year,"Full Time, Permanent",Publishing,Account Servicing,32500
Senior Cost Estimator,"",Unisun Development Corp (Cambodia),Overseas,Degree,5 years,Full Time,Construction,Building & Construction,50000
Software Engineer (C#.Net,Entry Level,Ngernturbo Company Limited/บริษัท เงินเทอร์โบ จำกัด,Prakket,Degree,N/A,"Full Time, Permanent",Financial Services,Information Technology (IT),32500
Japanese Speaking Sales Coordinator (Senior level)/เจ้าหน้าที่ประสานงานด้านการขาย ภาษาญี่ปุ่น (ระดับอาวุโส),"",JAC Recruitment Thailand,Bangkok,Degree,3 years,Permanent,Electronics,CS & Business Devpt,57500
VISA OFFICER/เจ้าหน้าที่แผนกวีซ่า,"","Travel Technology Services Co., Ltd.",Prakket,Degree,1 year,Full Time,Travel Agency,Tourism,25000
Technical Support Engineer,Middle,"GR TECH (THAILAND) CO., LTD.",Bangkapi,Degree,5 years,Full Time,Mechanical,Mechanical,30000
Sales Representative (เจ้าหน้าที่การขายประจำอีเว้นท์),Entry Level,The Singular Group Limited,Phayathai,Diploma of High Vocational Education,N/A,"Freelance, Full Time, Internship, Part Time, Permanent",Public Relations,Public Relations,30000
Sales Assistant Manager/ผู้ช่วยผู้จัดการฝ่ายขาย,"",JAC International,Sathorn,Degree,5 years,Full Time,Packaging,Business Development,57500
ERP Technical Consultant,"","Parker Bridge Recruitment Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Information Technology,Programming,105000
Sales & Marketing,Entry Level,"ECOLO CITY (THAILAND) CO., LTD./บริษัท เอะโคะโละ ซิตี้ (ประเทศไทย) จำกัด",Bangrak,Degree,N/A,"Full Time, Permanent",Service,CS & Business Devpt,20500
Business Development Engineer (Solar)/วิศวกรพัฒนาธุรกิจ (ไฟฟ้า),"","Advance Clean Power Co., Ltd.",Klongsan,Not Specified,Not Specified,Full Time,Oil & Gas,Sales,42500
Senior Manager Insights,Senior,TNS (Thailand) Ltd.,Sathorn,Degree,5 years,"Full Time, Permanent",Survey,Marketing,105000
Accounting Staff/พนักงานบัญชี,Entry Level,"M Turner Co., Ltd.",Bangrak,Degree,N/A,Permanent,Entertainment,Accounting,18000
Sales Engineer : 1 Person,Entry Level,"ACCRETECH (THAILAND) CO., LTD.",Bangkok Area - Samutprakarn,Degree,3 years,"Full Time, Permanent",Automation Equipment,Engineering,27500
Sale Executive,"","NPT Chain Solution Co., Ltd.",Klongtoey,Degree,3 years,"Full Time, Permanent",Delivery,Warehousing,25000
Safety Officer (Navanakorn 30,"",JAC AYUTTHAYA,Klongluang,Degree,N/A,Full Time,Others,ISO,27500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Sales Management,27500
SAP Application Support (SD/MM//WM/FI/CO),"","C.J. Express Group Co., Ltd.",Bangrak,Degree,1 year,Full Time,Wholesale,IT Project Management,45000
Production Superintendent (สุราษฎร์ธานี),"","Skillpower Services (Thailand) Co., Ltd.",Surat Thani,Degree,3 years,Full Time,Catering,Manufacturing Management,37500
Senior Operations NPI Engineer / Team Leader,"",ATJ Recruitment (Thailand) Ltd.,Chonburi,Degree,7 years,"Full Time, Permanent",Electronic,Electronics,80000
Safety Manager (FMCG),"","J.S.Technical Services Co., Ltd.",Others,Degree,10 years,Permanent,Chemical,Top Executives (CEO,125000
Purchase Engineering Manager,"",Manpower Thailand - Eastern Seaboard Branch,Rayong,Degree,7 years,"Full Time, Permanent",Manufacturing,Purchasing,140000
Sales Executive (IT),Not Specified,EXZY Company Limited/บริษัท เอ็กซ์ซี จำกัด,Dindaeng,Degree,2 years,Full Time,Information Technology,Technical Sales,32500
Accounting Officer,Entry Level,Thai Reinsurance Public Company Limited,Huaykwang,Degree,N/A,"Full Time, Permanent",Insurance,General Accounting,25500
Accounting Manager,Senior,FOODXCITE COMPANY LIMITED,Klongtoey,Degree,10 years,"Full Time, Permanent",Food and Beverage,Credit Control,72500
Sales Executive (Northern)/URGENT!!! Only English resume will be considered!!,Not Specified,"Cartrack Technologies (Thailand) Co., Ltd.",Northern,Degree,2 years,"Full Time, Permanent",Information Technology,Sales,35000
Business Analyst Manager,"","Staffers Recruitment Consultants Co., Ltd.",Bangkok,Degree,Not Specified,Full Time,Accounting,Information Technology (IT),105000
Import & Export/ Customer Service (Exp in BOI,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Mechanical,Export Import,25000
PCT Technician (Support),"","NAPASORN SERVICE GROUP CO., LTD.",Huaykwang,Degree,> 20,Contract,Human Resources Management,Construction,25500
admin,"","Ingenious Technology Co., Ltd.",Suanluang,Degree,Not Specified,Full Time,Trading and Distribution,Admin & HR,14500
Secretary / Personal Assistant,"",Southeast Insurance Public Company Limited,Bangrak,Degree,3 years,"Full Time, Permanent",Insurance,Admin & HR,50000
I.T. SUPPORT OFFICER/I.T. SUPPORT OFFICER,"","ALS Laboratory Group (Thailand) Co., Ltd.",Suanluang,Degree,1 year,Full Time,Research,MIS,37500
Receptionist (พนักงานต้อนรับ),Middle,"Wine & Spirit Trading Co., Ltd.",Pathumwan,(N/A),1 year,Full Time,Hospitality,Sales,18000
Finance & Accounting Manager (International team),"",CENTRAL GROUP,Bangrak,Degree,5 years,Permanent,Retail,General Accounting,72500
Sales Representative (เจ้าหน้าที่การขายประจำอีเว้นท์),"",The Singular Group Limited,Phayathai,(N/A),N/A,"Freelance, Full Time, Part Time, Temporary",Public Relations,Sales,27500
Accountant,"","Manpower Professional & Executive Recruitment Co, Ltd.",Bangkok,Not Specified,Not Specified,Full Time,Human Resources Management,Others,45000
Personal Assistant,Middle,"GEMS PAVILION CREATION CO., LTD.",Bangrak,Degree,5 years,Full Time,Jewellery,CS & Business Devpt,57500
ฝ่ายผลิต,"","CHUANYI INDUSTRY CO., LTD.",Bangkok Area - Samutsakorn,(N/A),18 years,Full Time,General Business Services,Production,11500
Senior programmer (C#,"",Quantium Technology,Prakanong,Degree,3 years,Full Time,Information Technology,Others,72500
Marketing Brand Assistant Manager,"","Natura Remedee Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Health & Beauty Care,Public Relations,25000
Sales & Marketing Manager,Middle,Q Hunter Company Limited,Bangplee,Degree,Not Specified,Permanent,Chemical,CS & Business Devpt,95000
Senior Accounting Consultant (Up to 40k/BTS Line),Middle,"Linktrix (Thailand) Co., Ltd.",Sathorn,Degree,5 years,"Full Time, Permanent",Accounting,Accounting,40000
Customer Support Representative,"",ICA Ortho Services Pte Ltd,Klongtoey,Not Specified,Not Specified,Full Time,Pharmaceutical,Customer Service,57500
Administration Support Officer,Middle,"FRS Business Solutions Co., Ltd.",Sathorn,Degree,3 years,"Full Time, Permanent",Tax Services,Credit Control,40000
Receptionist,"",Trivelles,Sathorn,High School Certificate,2 years,Full Time,Consultancy,Clerical Support,30000
Sales & Services Engineer (Industrial: Coatings / Equipment) : 70,Middle,"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Manufacturing,Engineering,80000
Admin (Envirosell Thailand),"",Index Creative Village Public Company Limited,Prakanong,Diploma of High Vocational Education,1 year,Permanent,Marketing Services,Operation,14500
Accounting & Administrative Manager,Middle,William E. Connor (Thailand) Ltd.,Bangrak,Degree,N/A,"Full Time, Permanent",Retail,Accounting,62500
Sales & Event Marketing Representative/เจ้าหน้าที่ส่งเสริมการขายและการตลาดประจำการออกบูธอีเว้นท์,Entry Level,Perfect Professional Group,Bangkok,(N/A),N/A,"Contract, Freelance, Full Time",Marketing Services,Public Relations,22500
Jewelry designer,"","Chokas Jewelry Co., Ltd.",Pranakorn,Degree,1 year,"Full Time, Internship",Jewellery,Industrial,19000
Graphic Design International,Entry Level,"Faber Flags & Banners (Thailand) Co., Ltd.",Bangkok Area - Samutprakarn,Degree,> 20,"Full Time, Permanent",Media,Design,20500
QA Supervisor (Chemicals) 50,Entry Level,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,5 years,Full Time,Chemical,ISO,72500
Recruitment Consultant / IT Recruitment Researcher,"",ATJ Recruitment (Thailand) Ltd.,Pathumwan,Degree,1 year,"Full Time, Permanent",Service,CS & Business Devpt,20500
Web Developer (Wordpress & PHP) [Urgent!],"","AG DRAGON CO., LTD.",Jatuchak,Degree,2 years,"Contract, Full Time, Permanent",Retail,Application Specialist - Software,25000
Office Manager (Full time),Middle,The German-Southeast Asian Center of Excellence for Public Policy and Good Governance (CPG),Bangkok,Degree,Not Specified,Full Time,Charity,Civil,23000
Senior System Analyst (Exp 7+yrs in related role/ Skill in VBA,Middle,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,6 years,"Full Time, Permanent",Information Technology,IT Consulting,62500
Accounting Officer,"","Guardforce Security (Thailand) Co.,Ltd./บริษัท รักษาความปลอดภัย การ์ดฟอร์ซ (ประเทศไทย) จำกัด",Bangkok,Degree,1 year,"Full Time, Permanent",Security,Accounting,18000
HR Manager/Asst. HR Manager/ผู้จัดการแผนกทรัพยากรบุคคล/ผู้ช่วยผู้จัดการแผนกทรัพยากรบุคคล,Senior,"TAK Products & Services Co., Ltd.",Bangkok Area - Nakornpatom,Degree,5 years,Permanent,Architecture,Admin & HR,52500
Sales Manager,"","Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,5 years,"Full Time, Permanent",Petrochemical,Sales,105000
Sales & Recruitment Consultant (many positions !!),"","Pasona HR Consulting Recruitment (Thailand) Co., Ltd.",Sathorn,Degree,N/A,"Full Time, Permanent",Human Resources Management,CS & Business Devpt,25000
Account and Finance Manager (ด่วน),Middle,Were Bean Coffee,Rajthevee,Degree,3 years,"Full Time, Permanent",Food and Beverage,Accounting,37500
Senior Web Graphic Designer/ Art Director/เว็บกราฟฟิค,"","OL REPUBLIC CO., LTD.",Klongtoey,Degree,3 years,Full Time,Retail,Graphics,30000
Administrator/Co,Entry Level,"Group 24/7 Worldwide (Thailand) Co., Ltd.",Bangkapi,Degree,N/A,Full Time,Interior Design,CS & Business Devpt,20500
Business Developer / Account Manager (Based in Phuket),Entry Level,"Navigo Samui Co., Ltd.",Phuket,Degree,N/A,Full Time,Travel Agency,CS & Business Devpt,27500
Compensation & Benefits Supervisor/ค่าตอบแทนและสวัสดิการ,"",JAC AYUTTHAYA,Bangkok Area - Pathumthani,Degree,4 years,Full Time,Electronics,Compensation & Benefits,42500
Data Analytics,Middle,JAC International,Bangkok,Degree,2 years,"Contract, Full Time, Permanent, Temporary",Information Technology,Network & System,57500
Sales Coordinator (New Graduate is Welcome!/ Degree of Logistic,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Electronics,Sales,20500
Account Manager (Digital),Middle,Q Hunter Company Limited,Sathorn,Degree,Not Specified,Permanent,Advertising,Customer Service,72500
Key Account Manager (Logistics) 80,Senior,Fircroft (Thailand) Limited,Bangkok,(N/A),5 years,Full Time,Freight Forwarding,Sales,95000
Sport Business Developer (Sport Leader) Decathlon Bangna (Retail),Entry Level,Decathlon (Thailand) Company Limited,Bangplee,(N/A),N/A,"Full Time, Permanent",Retail,Business Development,23000
Senior Partnership Manager,"",Page Group Thailand,Bangkok,Degree,5 years,"Full Time, Permanent",Media,Marketing,105000
Retail Assistant ( Souvenir Salesperson )  (Siam Paragon/Siam Discovery),Entry Level,"",Pathumwan,(N/A),1 year,"Contract, Full Time, Permanent",Recreation,Others,18000
Sales Engineer (Petrochemical and Oil&Gas),Entry Level,Adecco Recruitment (Thailand) Limited,Bangkok,Degree,1 year,"Full Time, Permanent",Motor Vehicles,CS & Business Devpt,25000
Accounting Manager,"","Skillpower Services (Thailand) Co., Ltd.",Sathorn,Not Specified,Not Specified,Full Time,Retail,Credit Control,80000
Business Development & Marketing Manager/ผู้จัดการแผนกพัฒนาธุรกิจและการตลาด,"",ADGES Consulting,Wattana,Degree,3 years,"Full Time, Permanent",Management Consultancy,Professional Services,40000
Programmer (2+ Yrs Exp in Java,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,1 year,"Full Time, Permanent",Motor Vehicles,Software Development,30000
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Sales Management,27500
Electrical Engineer,"","Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,2 years,"Full Time, Permanent",Chemical,Electronics,37500
Social Online Marketing Executive,Entry Level,NEXTEC CONSTRUCTION AND DESIGN COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,N/A,"Contract, Freelance, Full Time, Internship, Part Time, Permanent, Temporary",Quantity Survey,Information Technology (IT),20500
Logistic Officer / Import & Export Officer (Sugar / Agriculture / Chemical),"",RSM Recruitment (Thailand) Limited,Klongtoey,Degree,3 years,Full Time,Petrochemical,Export Import,72500
Accountant New setup Company (Fashion Retail),Entry Level,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,2 years,Full Time,Textile,Banking,37500
Software Developer (.Net/VB),"","Manpower Professional and Executive Recruitment Co., Ltd,",Laksri,Not Specified,Not Specified,"Full Time, Permanent",Consultancy,Information Technology (IT),25000
Area Supervisor,Middle,"LASHES CO., LTD.",Rajthevee,Degree,5 years,"Full Time, Permanent",Health & Beauty Care,Sales,30000
Production Planning Supervisor,Entry Level,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,3 years,Full Time,Paper,Manufacturing,72500
Sales Executive (2+ yrs exp in selling any Industrial Products/ Attractive Benefits),"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Trading and Distribution,Sales,32500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Event Marketing,27500
Customer Services,"","S.M.Chemical Supplies Co., Ltd.",Ladprao,Degree,2 years,"Full Time, Permanent",Plastic,Clerical Support,20500
Graphic Designer,"","Prompt Partners Co.,Ltd.",Prakket,(N/A),2 years,"Full Time, Permanent",Packaging,Product,32500
Japanese Speaking HR&GA,Entry Level,JAC Recruitment Thailand,Bangkok,Degree,N/A,Permanent,Trading and Distribution,Clerical Support,25000
Senior Legal Officer/นิติกร,Middle,Kerry Express (Thailand) Limited,Bangrak,Degree,2 years,"Full Time, Permanent",Shipping,Professional Services,32500
Front Office Manager,"","URBANA ESTATE CO., LTD.",Pathumwan,Not Specified,Not Specified,Full Time,Property Development,Management,50000
Commercial Director,Top,"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,10 years,"Full Time, Permanent",Food and Beverage,Public Relations,140000
Clinical Specialist (Medical Device and Cosmedical Product)/เจ้าหน้าที่พัฒนาผลิตภัณฑ์เครื่องมือแพทย์และเวชสำอาง,"","Technicalbiomed Co., Ltd./บริษัท เทคนิคอลไบโอเมด จำกัด",Wangthonglang,Degree,N/A,"Full Time, Permanent",Medical,Medical Services,25000
Sales IT (software) 70,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,5 years,Full Time,Information Technology,CS & Business Devpt,82500
Assistant Sales Manager / ผู้ช่วยผู้จัดการฝ่ายขาย,"",Competizioni Moto/คอมเพททิชันนี่ โมโต,Suanluang,Degree,2 years,"Full Time, Permanent",Wholesale,CS & Business Devpt,52500
System Analyst    ด่วน !!,Middle,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Information Technology (IT),37500
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Sales Management,27500
Accounting&Finance Manager (Exp in Japanese Company is preferred/ Hold CPD) Rayong,"","Smartcruit Consultant Co., Ltd.",Rayong,Degree,8 years,"Full Time, Permanent",Mechanical,Accounting,95000
Mechanical Design Engineer (Skill AutoCAD,"","Smartcruit Consultant Co., Ltd.",Bangna,Degree,N/A,"Full Time, Permanent",Mechanical,Industrial,18000
Senior Web Graphic Designer/ Art Director/เว็บกราฟฟิค,"","OL REPUBLIC CO., LTD.",Klongtoey,Degree,3 years,Full Time,Wholesale,Creative,30000
Secretary (25K,"","Reeracoen Recruitment Co., Ltd.",Pathumwan,Diploma of High Vocational Education,N/A,Full Time,Human Resources Management,Secretary,30000
Events Manager / Business Development Executive/ผู้จัดการอีเว้นท์และฝ่ายขาย,"",OmniRaise,Prakanong,(N/A),2 years,Full Time,Marketing Services,Public Relations,25000
